companyid,locationid,state,patientid,procedure_code,production,description,week_start_date,year
V133130,1-Jan,WA,285,FECAL,73.0,FECAL FLOAT (TO IDEXX LAB),2017-02-13,2017
V133130,1-Jan,WA,855,24639,85.57,IDEXX FECAL DX PROFILE W GIARDIA,2017-02-13,2017
V133130,1-Jan,WA,833,IL8041,116.72,IDEXX T4 FOLLOW-UP,2017-02-13,2017
V133130,1-Jan,WA,772,I7723,45.76,IDEXX HEARTWORM ANTIGEN BY ELISA,2017-02-13,2017
V133130,1-Jan,WA,757,IDX105,60.81,IDEXX CBC,2017-02-20,2017
V133130,1-Jan,WA,329,IL32159,187.78,IDEXX YOUNG WELLNESS WITH CANINE CAR,2017-02-20,2017
V133130,1-Jan,WA,476,IRL24639,48.56,IDEXX FECAL DX PROFILE W GIARDIA,2017-02-20,2017
V133130,1-Jan,WA,190,910,67.04,URINALYSIS ~ IDEXX,2017-03-06,2017
V133130,1-Jan,WA,773,HF248,193.0,ZRADIOLOGY CONSULT (IDEXX) HF,2017-03-06,2017
V133130,1-Jan,WA,976,IL9101,89.73,IDEXX URINALYSIS ADD-ON,2017-03-27,2017
V133130,1-Jan,WA,641,FECAL,72.0,FECAL FLOAT (TO IDEXX LAB),2017-04-03,2017
V133130,1-Jan,WA,223,27007,172.0,SENIOR PROFILE - IDEXX,2017-04-10,2017
V133130,1-Jan,WA,742,24639,88.57,IDEXX FECAL DX PROFILE W GIARDIA,2017-04-17,2017
V133130,1-Jan,WA,620,2463,56.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2017-04-24,2017
V133130,1-Jan,WA,945,3231,58.96,FECAL O&P PRIMATE - IDEXX #320381,2017-05-15,2017
V133130,1-Jan,WA,647,IL22159,88.0,IDEXX PRE-OP PANEL/ADULT PANEL,2017-05-15,2017
V133130,1-Jan,WA,559,IDX10,67.89,IDEXX FELV + FIV TEST (IN HOUSE),2017-05-29,2017
V133130,1-Jan,WA,379,10132,41.0,FRUCTOSAMINE (IDEXX IN-HOUSE),2017-06-05,2017
V133130,1-Jan,WA,694,GIAFF,72.8,FECAL PANEL FELINE (GIARDIACENT. -IDEXX,2017-06-05,2017
V133130,1-Jan,WA,556,490IDX,42.5,IDEXX HEARTWORM SNAP TEST,2017-06-05,2017
V133130,1-Jan,WA,298,IL75B,175.0,IDEXX TOTAL HEALTH PLUS BASIC**,2017-06-12,2017
V133130,1-Jan,WA,268,IDX10,67.89,IDEXX FELV + FIV TEST (IN HOUSE),2017-07-10,2017
V133130,1-Jan,WA,836,HW,62.0,IDEXX - HEARTWORM SNAP,2017-07-10,2017
V133130,1-Jan,WA,313,IDX101,92.31,IDEXX CHEM 15,2017-07-24,2017
V133130,1-Jan,WA,360,IL24483,255.0,IDEXX SENIOR PROFILE W/FECAL DX & 4DX,2017-07-31,2017
V133130,1-Jan,WA,277,FDX,45.0,FECAL DX (IDEXX),2017-08-07,2017
V133130,1-Jan,WA,686,6240,152.0,SA IDEXX B12(2013),2017-08-28,2017
V133130,1-Jan,WA,452,27013,79.0,CBC - IDEXX,2017-08-28,2017
V133130,1-Jan,WA,578,FECALDX,82.8,IDEXX: FECAL DX W GIARDIA - WELLNESS,2017-09-04,2017
V133130,1-Jan,WA,121,IL22159,89.0,IDEXX PRE-OP PANEL/ADULT PANEL,2017-09-18,2017
V133130,1-Jan,WA,848,24639,63.0,IDEXX FECAL O&P W GIARDIA,2017-10-02,2017
V133130,1-Jan,WA,778,490IDX,44.5,IDEXX HEARTWORM SNAP TEST,2017-10-23,2017
V133130,1-Jan,WA,106,IL9101,90.73,IDEXX URINALYSIS ADD-ON,2017-10-30,2017
V133130,1-Jan,WA,218,3231,55.96,FECAL O&P PRIMATE - IDEXX #320388,2017-11-06,2017
V133130,1-Jan,WA,221,1295,80.89,IDEXX URINALYSIS,2017-11-06,2017
V133130,1-Jan,WA,135,IDX10,71.89,IDEXX FELV + FIV TEST (IN HOUSE),2017-11-06,2017
V133130,1-Jan,WA,501,ID804,121.0,IDEXX TOTAL T4,2017-11-13,2017
V133130,1-Jan,WA,848,HF248,186.0,ZRADIOLOGY CONSULT (IDEXX) HF,2017-11-20,2017
V133130,1-Jan,WA,489,IDEXX5013L,51.75,IDEXX - FECAL DX - TO LAB,2017-12-18,2017
V133130,1-Jan,WA,599,FDX,50.0,FECAL DX (IDEXX),2017-12-18,2017
V133130,1-Jan,WA,846,FECAL,74.0,FECAL FLOAT (TO IDEXX LAB),2018-01-01,2018
V133130,1-Jan,WA,297,IDEXX5013L,42.75,IDEXX - FECAL DX - TO LAB,2018-01-01,2018
V133130,1-Jan,WA,332,FDX,54.0,FECAL DX (IDEXX),2018-01-08,2018
V133130,1-Jan,WA,301,3231,54.96,FECAL O&P PRIMATE - IDEXX #320437,2018-01-08,2018
V133130,1-Jan,WA,817,IL9101,89.73,IDEXX URINALYSIS ADD-ON,2018-01-08,2018
V133130,1-Jan,WA,589,IL32159,192.78,IDEXX YOUNG WELLNESS WITH CANINE CAR,2018-01-15,2018
V133130,1-Jan,WA,588,75PCMET,243.0,PCMET IDEXX TOTAL BODY HEALTH (75),2018-02-05,2018
V133130,1-Jan,WA,953,SA705,130.9,IDEXX SENIOR CBCCHEMT4 (NEED UA),2018-02-05,2018
V133130,1-Jan,WA,843,1827,110.11,IDEXX TOTAL HEALTH + T4 #759999,2018-03-05,2018
V133130,1-Jan,WA,972,GIAFF,73.8,FECAL PANEL FELINE (GIARDIACENT. -IDEXX,2018-03-26,2018
V133130,1-Jan,WA,907,490IDX,40.5,IDEXX HEARTWORM SNAP TEST,2018-04-23,2018
V133130,1-Jan,WA,929,IDX101,95.31,IDEXX CHEM 15,2018-04-23,2018
V133130,1-Jan,WA,188,3231,60.96,FECAL O&P PRIMATE - IDEXX #320438,2018-05-14,2018
V133130,1-Jan,WA,672,75PCMET,239.0,PCMET IDEXX TOTAL BODY HEALTH (75),2018-05-14,2018
V133130,1-Jan,WA,754,1773,33.01,IDEXX CBC (PROCYTE) INHOUSE,2018-05-14,2018
V133130,1-Jan,WA,517,48019999,269.0,FELINE PLUS (IDEXX),2018-05-28,2018
V133130,1-Jan,WA,164,FDX,47.0,FECAL DX (IDEXX),2018-05-28,2018
V133130,1-Jan,WA,565,31803,127.0,FECAL DX/LAB 4DX PLUS IDEXX 31803,2018-06-04,2018
V133130,1-Jan,WA,825,176140,29.0,IDEXX CATALYST LYTE 4,2018-07-09,2018
V133130,1-Jan,WA,606,IL8041,123.72,IDEXX T4 FOLLOW-UP,2018-07-30,2018
V133130,1-Jan,WA,408,SA705,124.9,IDEXX SENIOR CBCCHEMT4 (NEED UA),2018-07-30,2018
V133130,1-Jan,WA,819,759999,206.0,IDEXX CHEM 27CBCTT4(TOTAL HEALTH PLUS),2018-08-13,2018
V133130,1-Jan,WA,826,IL8041,115.72,IDEXX T4 FOLLOW-UP,2018-09-03,2018
V133130,1-Jan,WA,412,4DX,57.0,IDEXX SNAP 4DX PLUS HEARTWORM TEST,2018-09-17,2018
V133130,1-Jan,WA,901,910,69.8,IDEXX URINALYSIS,2018-10-01,2018
V133130,1-Jan,WA,305,IDX10,70.89,IDEXX FELV + FIV TEST (IN HOUSE),2018-10-15,2018
V133130,1-Jan,WA,439,24639,87.57,IDEXX FECAL DX PROFILE W GIARDIA,2018-10-22,2018
V133130,1-Jan,WA,986,1773,34.01,IDEXX CBC (PROCYTE) INHOUSE,2018-11-05,2018
V133130,1-Jan,WA,249,10132,45.0,FRUCTOSAMINE (IDEXX IN-HOUSE),2018-11-12,2018
V133130,1-Jan,WA,593,48019999,267.0,FELINE PLUS (IDEXX),2018-11-19,2018
V133130,1-Jan,WA,177,FDX,47.0,FECAL DX (IDEXX),2018-11-26,2018
V133130,1-Jan,WA,262,6120,70.0,IDEXX - CHEM 10 RECHECK,2019-01-14,2019
V133130,1-Jan,WA,528,IL75B,173.0,IDEXX TOTAL HEALTH PLUS BASIC**,2019-01-28,2019
V133130,1-Jan,WA,731,FDX,52.0,FECAL DX (IDEXX),2019-01-28,2019
V133130,1-Jan,WA,526,48019999,264.0,FELINE PLUS (IDEXX),2019-03-11,2019
V133130,1-Jan,WA,107,6120,69.0,IDEXX - CHEM 10 RECHECK,2019-03-11,2019
V133130,1-Jan,WA,941,IRL24639,45.56,IDEXX FECAL DX PROFILE W GIARDIA,2019-05-13,2019
V133130,1-Jan,WA,889,3231,56.96,FECAL O&P PRIMATE - IDEXX #320389,2019-05-20,2019
V133130,1-Jan,WA,244,1189,128.0,IDEXX CUSTOM PROFILE 212-STANDARD CB,2019-05-20,2019
V133130,1-Jan,WA,292,IL501,64.0,IDEXX OVA AND PARASITES (FECAL),2019-07-15,2019
V133130,1-Jan,WA,274,31803,132.0,FECAL DX/LAB 4DX PLUS IDEXX 31803,2019-08-12,2019
V133130,1-Jan,WA,841,176140,33.0,IDEXX CATALYST LYTE 4,2019-12-16,2019
V133130,1-Jan,WA,974,27007,159.0,SENIOR PROFILE - IDEXX,2019-12-23,2019
V133130,1-Jan,WA,786,1189,132.0,IDEXX CUSTOM PROFILE 212-STANDARD CB,2020-01-06,2020
V133130,1-Jan,WA,589,IDX101,88.31,IDEXX CHEM 15,2020-01-27,2020
V133130,1-Jan,WA,870,IL31829,128.0,IDEXX 4DX + FECAL - COMPREHENSIVE,2020-03-09,2020
V133130,1-Jan,WA,816,176140,37.0,IDEXX CATALYST LYTE 4,2020-07-13,2020
V133130,1-Jan,WA,806,HF248,191.0,ZRADIOLOGY CONSULT (IDEXX) HF,2020-08-03,2020
V133130,1-Jan,WA,891,IDX10,69.89,IDEXX FELV + FIV TEST (IN HOUSE),2020-08-10,2020
V133130,1-Jan,WA,398,IL9101,86.73,IDEXX URINALYSIS ADD-ON,2020-09-14,2020
V133130,1-Jan,WA,645,3231,56.96,FECAL O&P PRIMATE - IDEXX #320381,2021-02-01,2021
V133130,1-Jan,WA,620,I381099,226.0,XXXA S (CBC/CH25/UA) IDEXX 38109999,2021-03-01,2021
V133130,1-Jan,WA,612,3231,52.96,FECAL O&P PRIMATE - IDEXX #320389,2021-04-19,2021
V133130,1-Jan,WA,737,6120,65.0,IDEXX - CHEM 10 RECHECK,2021-04-26,2021
V133130,1-Jan,WA,622,48019999,273.0,FELINE PLUS (IDEXX),2021-05-03,2021
V133130,1-Jan,WA,651,IL75B,171.0,IDEXX TOTAL HEALTH PLUS BASIC**,2021-05-10,2021
V133130,1-Jan,WA,138,FECALDX,78.8,IDEXX: FECAL DX W GIARDIA - WELLNESS,2021-05-10,2021
V133130,1-Jan,WA,636,SA705,131.9,IDEXX SENIOR CBCCHEMT4 (NEED UA),2021-07-05,2021
V133130,1-Jan,WA,959,27007,166.0,SENIOR PROFILE - IDEXX,2021-08-23,2021
V133130,1-Jan,WA,463,IL9461,137.0,IDEXX URINE CORT/CREATINE ADD-ON,2021-08-30,2021
V133130,1-Jan,WA,503,IL275,152.98,IDEXX DEXAMETHASONE SUPPRESSION (ONE,2021-09-20,2021
V133130,1-Jan,WA,752,10132,37.0,FRUCTOSAMINE (IDEXX IN-HOUSE),2021-11-01,2021
V133130,1-Jan,WA,791,3231,53.96,FECAL O&P PRIMATE - IDEXX #320438,2021-11-01,2021
V133130,1-Jan,WA,119,I7723,43.76,IDEXX HEARTWORM ANTIGEN BY ELISA,2021-11-29,2021
V133130,1-Jan,WA,997,IDX2,210.83,IDEXX COMP PANEL WSDMA (IN HOUSE),2022-03-28,2022
V133130,1-Jan,WA,713,3231,58.96,FECAL O&P PRIMATE - IDEXX #320437,2022-04-25,2022
V133130,1-Jan,WA,539,2463,55.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2022-05-09,2022
V133130,1-Jan,WA,708,IL5013,59.0,IDEXX FECAL DX OVA AND ANTIGEN,2022-08-15,2022
V133130,1-Jan,WA,680,1248,280.9,RADIOGRAPH INTERPRETATION  STAT IDEXX,2022-10-03,2022
V133130,1-Jan,WA,568,10132,37.0,FRUCTOSAMINE (IDEXX IN-HOUSE),2022-11-14,2022
V133130,1-Jan,WA,376,FECA,37.0,FECAL PANEL TO IDEXX,2022-11-28,2022
V133130,1-Jan,WA,332,1827,110.11,IDEXX TOTAL HEALTH + T4 #759999,2023-02-06,2023
V133130,1-Jan,WA,314,IL3808,174.05,IDEXX COMP DIARRHEA PROFILE K9,2023-02-06,2023
V133130,1-Jan,WA,180,4DX,58.0,IDEXX SNAP 4DX PLUS HEARTWORM TEST,2023-02-27,2023
V133130,1-Jan,WA,131,I910,76.0,IDEXX URINALYSIS,2023-03-27,2023
V133130,1-Jan,WA,565,IDEXX5013L,47.75,IDEXX - FECAL DX - TO LAB,2023-04-03,2023
V133130,1-Jan,WA,115,IL7244,54.47,IDEXX LAB 4DX PLUS TEST - CANINE,2023-06-19,2023
V133130,1-Jan,WA,313,IL31829,128.0,IDEXX - 4DX + FECAL - COMPREHENSIVE,2023-06-26,2023
V133130,1-Jan,WA,749,IL31829,97.92,IDEXX K9 COMP PARASITE SCREEN,2023-06-26,2023
V133130,1-Jan,WA,186,IL501,62.0,IDEXX OVA AND PARASITES (FECAL),2023-10-16,2023
V133130,1-Jan,WA,411,IDX2,208.83,IDEXX COMP PANEL WSDMA (IN HOUSE),2023-11-27,2023
V133130,2-Jan,NV,855,IDX10,67.89,IDEXX FELV + FIV TEST (IN HOUSE),2017-01-16,2017
V133130,2-Jan,NV,800,3231,52.96,FECAL O&P PRIMATE - IDEXX #320438,2017-01-16,2017
V133130,2-Jan,NV,926,PREAXBW,118.6,IDEXX PABW,2017-01-23,2017
V133130,2-Jan,NV,374,IDX105,56.81,IDEXX CBC,2017-02-20,2017
V133130,2-Jan,NV,251,FECAL,79.0,FECAL FLOAT (TO IDEXX LAB),2017-02-20,2017
V133130,2-Jan,NV,576,IDX105,59.81,IDEXX CBC,2017-02-27,2017
V133130,2-Jan,NV,323,URINE,66.5,URINALYSIS IN HOUSE - IDEXX,2017-03-06,2017
V133130,2-Jan,NV,823,1827,112.11,IDEXX TOTAL HEALTH + T4 #759999,2017-03-27,2017
V133130,2-Jan,NV,991,1773,29.01,IDEXX CBC (PROCYTE) INHOUSE,2017-04-10,2017
V133130,2-Jan,NV,286,IL31829,101.92,IDEXX K9 COMP PARASITE SCREEN,2017-04-10,2017
V133130,2-Jan,NV,385,27007,166.0,SENIOR PROFILE - IDEXX,2017-04-17,2017
V133130,2-Jan,NV,996,IL8041,120.72,IDEXX T4 FOLLOW-UP,2017-04-24,2017
V133130,2-Jan,NV,794,I381099,230.0,XXXA S (CBC/CH25/UA) IDEXX 38109999,2017-04-24,2017
V133130,2-Jan,NV,552,FECAL,73.0,FECAL FLOAT (TO IDEXX LAB),2017-05-15,2017
V133130,2-Jan,NV,486,IL7244,55.47,IDEXX LAB 4DX PLUS TEST - CANINE,2017-05-22,2017
V133130,2-Jan,NV,481,IL9101,85.73,IDEXX URINALYSIS ADD-ON,2017-05-22,2017
V133130,2-Jan,NV,256,759999,207.0,IDEXX CHEM 27CBCTT4(TOTAL HEALTH PLUS),2017-06-19,2017
V133130,2-Jan,NV,174,IL5013,62.0,IDEXX FECAL DX OVA AND ANTIGEN,2017-06-26,2017
V133130,2-Jan,NV,651,GIAFF,73.8,FECAL PANEL FELINE (GIARDIACENT. -IDEXX,2017-07-03,2017
V133130,2-Jan,NV,255,IL3808,166.05,IDEXX COMP DIARRHEA PROFILE K9,2017-07-03,2017
V133130,2-Jan,NV,958,2463,56.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2017-07-24,2017
V133130,2-Jan,NV,324,ID75,304.6,TOTAL HEALTH PLUS PROFILE (T4 IDEXX LAB,2017-08-07,2017
V133130,2-Jan,NV,706,HW,63.0,IDEXX - HEARTWORM SNAP,2017-08-07,2017
V133130,2-Jan,NV,805,AC100,97.9,IDEXX 4DX  W REFLEX,2017-08-28,2017
V133130,2-Jan,NV,245,IL31829,104.92,IDEXX K9 COMP PARASITE SCREEN,2017-09-11,2017
V133130,2-Jan,NV,973,ID75,330.6,TOTAL HEALTH PLUS PROFILE (T4 IDEXX LAB,2017-09-11,2017
V133130,2-Jan,NV,441,27007,161.0,SENIOR PROFILE - IDEXX,2017-09-25,2017
