companyid,locationid,patientid,clientid,breed,species,age
V123289,1-Jan,874,301,PINSCHER  DOBERMAN,CANINE,13
V123289,1-Jan,873,215,UNKNOWN FELINE,FELINE,21
V123289,1-Jan,889,491,LABRADOR RETRIEVER,CANINE,11
V123289,1-Jan,641,462,MIXED,DOG,11
V123289,1-Jan,816,207,BOXER MIX,CANINE,17
V123289,1-Jan,352,329,GERMAN SHEPHERD,CANINE,18
V123289,1-Jan,488,184,MALTESE MIX,CANINE,13
V123289,1-Jan,907,311,COCKERSPANIEL,CANINE,23
V123289,1-Jan,986,420,YELLOW-CROWNED AMAZON,AVIAN,11
V123289,1-Jan,800,227,BORDER COLLIE,CANINE,9
V123289,1-Jan,696,474,LABRADOR RETRIEVER MIX,CANINE,12
V123289,1-Jan,337,297,GERMAN SHEPHERD,CANINE,20
V123289,1-Jan,695,203,DEXTER,COW,4
V123289,1-Jan,927,113,SHIH TZU,CANINE,12
V123289,1-Jan,472,398,POODLE MINATURE,CANINE,10
V123289,1-Jan,429,343,DOMESTIC SHORTHAIR,FELINE,13
V123289,1-Jan,535,188,DACHSHUND MIX,CANINE,14
V123289,1-Jan,393,197,JACK RUSSELL,CANINE,24
V123289,1-Jan,951,484,DOMESTIC SHORT HAIR,FELINE,7
V123289,1-Jan,649,442,RAT TERRIER,CANINE,19
V123289,1-Jan,777,242,GERMAN SHEPHERD,CANINE,24
V123289,1-Jan,835,280,APPALOOSA,DOG,3
V123289,1-Jan,619,322,THOROUGHBRED,EQUINE,24
V123289,1-Jan,199,413,MORKIEPOO,CANINE,5
V123289,1-Jan,741,412,POODLE  STANDARD,CANINE,18
V123289,1-Jan,272,331,CHIHUAHUA,CANINE,23
V123289,1-Jan,621,304,BOXER MIX,CANINE,19
V123289,1-Jan,394,151,SHORTHAIR DOMESTIC,CAT,24
V123289,1-Jan,602,142,BEAGLE,CANINE,11
V123289,1-Jan,802,188,WEST HIGHLAND WHITE TERRIER,DOG,16
V123289,1-Jan,395,236,DOMESTIC SHORTHAIR,FELINE,4
V123289,1-Jan,206,195,RIDGEBACK  RHODESIAN,CANINE,13
V123289,1-Jan,419,217,GERMAN SHORT HAIR POINTER,CANINE,18
V123289,1-Jan,312,340,JACK RUSSELL TERRIER,CANINE,24
V123289,1-Jan,878,239,GERMAN SHEP MIX,CANINE,24
V123289,1-Jan,144,471,COCKATOO,AVIAN,8
V123289,1-Jan,831,259,AMERICAN PITBULL MIX,CANINE,18
V123289,1-Jan,318,240,MIXED,CANINE,19
V123289,1-Jan,412,452,RETRIEVER GOLDEN,CANINE,21
V123289,1-Jan,157,188,COONHOUND,CANINE,19
V123289,1-Jan,416,323,AFRICAN GREY CONGO,AVIAN,21
V123289,1-Jan,605,281,WEIMARANER,CANINE,20
V123289,1-Jan,342,294,PINSCHER  DOBERMAN,CANINE,22
V123289,1-Jan,156,490,YELLOW-CROWNED AMAZON,AVIAN,11
V123289,1-Jan,172,461,SPANIEL  WELSH SPRINGER,CANINE,12
V123289,1-Jan,170,152,DACHSHUND,CANINE,12
V123289,1-Jan,921,245,SCOTTISH DEERHOUND,CANINE,24
V123289,1-Jan,385,154,NON SPECIFIC,EQUINE,16
V123289,1-Jan,601,450,DOMESTIC SHORT HAIR,FELINE,15
V123289,1-Jan,832,185,CHIHUAHUA,CANINE,19
V123289,1-Jan,611,321,DOMESTIC SHORTHAIR,FELINE,22
V123289,1-Jan,260,275,MASTIFF,CANINE,12
V123289,1-Jan,376,388,PIT BULL,CANINE,12
V123289,1-Jan,772,166,POINTER MIX,CANINE,18
V123289,1-Jan,764,363,SHEPHERD MIX,CANINE,8
V123289,1-Jan,526,264,TERRIER,CANINE,19
V123289,1-Jan,297,461,DOMESTIC SHORTHAIRR,CANINE,13
V123289,1-Jan,856,151,PITBULL,CANINE,2
V123289,1-Jan,879,471,BERGAMASCO SHEEPDOG,CANINE,23
V123289,1-Jan,728,492,DOMESTIC SHORTHAIR,FELINE,7
V123289,1-Jan,480,220,CHICKEN,AVIAN,15
V123289,1-Jan,807,490,PLOTT HOUND,CANINE,12
V123289,1-Jan,939,493,DOMESTIC SHORT HAIR,FELINE,9
V123289,1-Jan,153,262,GERMAN SHEPHERD,CANINE,19
V123289,1-Jan,660,333,OTHER CANINE,CANINE,18
V123289,1-Jan,590,121,BENGAL,FELINE,9
V123289,1-Jan,915,201,MIX,CANINE,15
V123289,1-Jan,546,207,AMERICAN BASHKIR CURLY,DOG,7
V123289,1-Jan,931,385,BLUE & GOLD MACAW,AVIAN,23
V123289,1-Jan,910,207,PITBULL,CANINE,13
V123289,1-Jan,625,179,DOMESTIC SHORTHAIR,FELINE,9
V123289,1-Jan,556,231,DOMESTIC SHORTHAIR,FELINE,13
V123289,1-Jan,215,498,D.S.H,FELINE,12
V123289,1-Jan,421,435,SHEPHERD  GERMAN,CANINE,22
V123289,1-Jan,983,104,LABRADOR RETRIEVER MIX,CANINE,18
V123289,1-Jan,941,211,MIXED,CANINEGHT,20
V123289,1-Jan,322,188,DOMESTIC SHORTHAIR,FELINE,13
V123289,1-Jan,503,479,DOMESTIC SHORTHAIR,FELINE,18
V123289,1-Jan,266,246,SHEPHERD  AUSTRALIAN MIX,CANINE,3
V123289,1-Jan,671,284,GREAT DANE,CANINE,18
V123289,1-Jan,290,487,SYRIAN HAMSTER,POCKET PET,5
V123289,1-Jan,171,354,BOXER,CANINE,18
V123289,1-Jan,467,330,DOMESTIC SHORTHAIR,FELINE,19
V123289,1-Jan,304,326,DOMESTIC SHORTHAIR,FELINE,23
V123289,1-Jan,579,475,OTHER FELINE,FELINE,6
V123289,1-Jan,417,369,TERRIER YORKSHIRE,CANINE,24
V123289,1-Jan,773,460,BEAGLE,CANINE,9
V123289,1-Jan,645,429,COTON DE TULEAR,CANINE,9
V123289,1-Jan,273,288,AMERICAN PIT BULL TERRIER,CANINE,13
V123289,1-Jan,178,490,MINI GOLDENDOODLE 2ND GENERATION,CANINE,7
V123289,1-Jan,410,458,GOLDEN RETRIEVER,CANINE,12
V123289,1-Jan,850,436,PITBULL MIX,CANINE,20
V123289,1-Jan,913,155,DOMESTIC SHORTHAIR,FELINE,5
V123289,1-Jan,998,344,GERMAN SHEPHERD DOG MIX,CANINE,11
V123289,1-Jan,443,218,SHEPHERD AUSTRALIAN  MINIATURE,CANINE,4
V123289,1-Jan,381,294,LABRADOR RETRIEVER,CANINE,7
V123289,1-Jan,458,412,TERRIER  RAT,CANINE,20
V123289,1-Jan,140,285,BASENJI,CANINE,21
V123289,1-Jan,803,339,COONHOUND MIX,DOG,19
V123289,1-Jan,918,396,TERRIER MIX,CANINE,10
V123289,1-Jan,654,261,UNKNOWN CANINE,CANINE,15
V123289,1-Jan,309,281,RETRIEVER LABRADOR MIX,CANINE,23
V123289,1-Jan,553,452,GERMAN PINSCHER,DOG,11
V123289,1-Jan,223,144,CAVAPOO,CANINE,2
V123289,1-Jan,664,376,MAINE COON,FELINE,11
V123289,1-Jan,200,242,DOMESTIC SHORTHAIR,FELINE,10
V123289,1-Jan,128,416,LABRADOODLE,CANINE,6
V123289,1-Jan,852,395,COCKATOO,AVIAN,8
V123289,1-Jan,662,293,TERR MIX,CANINE,13
V123289,1-Jan,754,349,BOXER,CANINE,10
V123289,1-Jan,422,193,POINTER GERMAN SHORTHAIR,CANINE,14
V123289,1-Jan,221,141,DOMESTIC SHORT HAIR,FELINE,9
V123289,1-Jan,843,345,GOLDEN RETRIEVER,CANINE,4
V123289,1-Jan,570,412,BIRMAN,FELINE,20
V123289,1-Jan,265,486,POMERANIAN,CANINE,14
V123289,1-Jan,942,270,SHIH TZU MIX,CANINE,13
V123289,1-Jan,537,183,RETRIEVER MIXED,CANINE,16
V123289,1-Jan,113,306,OTHER CANINE,CANINE,19
V123289,1-Jan,555,239,SHIH-POO,CANINE,2
V123289,1-Jan,675,300,WEIMARANER,DOG,18
V123289,1-Jan,112,289,GERMAN SHEPARD,CANINE,14
V123289,1-Jan,529,392,CHIHUAHUA MIX,CANINE,11
V123289,1-Jan,307,369,SHIH TZU,CANINE,24
V123289,1-Jan,946,335,TERRIER  CAIRN,CANINE,17
V123289,1-Jan,642,119,DSH,FELINE,14
V123289,1-Jan,959,148,DOMESTIC SHORTHAIR,FELINE,19
V123289,1-Jan,328,416,ALASKAN MALAMUTE,CANINE,16
V123289,1-Jan,656,396,BOXER,CANINE,4
V123289,1-Jan,357,430,PUG,CANINE,14
V123289,1-Jan,366,388,ROTTWEILER MIX,CANINE,14
V123289,1-Jan,514,172,MINIATURE SCHNAUZER,CANINE,7
V123289,1-Jan,801,220,AUSTRALIAN SHEPHERD,CANINE,19
V123289,1-Jan,401,423,DOMESTIC SHORT HAIR,FELINE,19
V123289,1-Jan,805,205,TERRIER  CAIRN,CANINE,17
V123289,1-Jan,403,123,MIXED,CANINE,20
V123289,1-Jan,679,383,SIBERIAN HUSKY MIX,CANINE,18
V123289,1-Jan,769,124,CHOW MIX,CANINE,7
V123289,1-Jan,339,308,CHOW CHOW,CANINE,23
V123289,1-Jan,124,469,BEAGLE MIX,CANINE,17
V123289,1-Jan,996,472,SADDLEBRED,EQUINE,20
V123289,1-Jan,267,178,CHIHUAHUA,CANINE,24
V123289,1-Jan,438,367,TEA CUP POODLE,CANINE,8
V123289,1-Jan,257,479,MIX,CANINE,4
V123289,1-Jan,298,254,CAVALIER KING CHARLES SPANIEL,CANINE,24
V123289,1-Jan,533,261,CAVALIER KING CHARLES SPANIEL,CANINE,18
V123289,1-Jan,341,469,POODLE,CANINE,8
V123289,1-Jan,240,308,CHIHUAHUA,CANINE,17
V123289,1-Jan,424,466,BEAGLE,CANINE,5
V123289,1-Jan,406,358,LAB,CANINE,17
V123289,1-Jan,861,447,GERMAN SHEPHERD,CANINE,8
V123289,1-Jan,676,432,DACHSHUND  SMOOTH,CANINE,20
V123289,1-Jan,908,179,JACK RUSSELL TERRIER MIX,CANINE,11
V123289,1-Jan,205,244,WELSH PONY,EQUINE,18
V123289,1-Jan,707,259,D.L.H.,FELINE,10
V123289,1-Jan,699,308,GUINEA PIG,EXOTIC,20
V123289,1-Jan,767,345,RETRIEVER/LAB/MIX,CANINE,8
V123289,1-Jan,604,273,DOMESTIC LONGHAIR,FELINE,21
V123289,1-Jan,677,267,DOMESTIC SHORT HAIR,FELINE,14
V123289,1-Jan,550,154,AMERICAN PIT BULL MIX,DOG,6
V123289,1-Jan,789,246,COLLIE  BORDER MIX,CANINE,12
V123289,1-Jan,966,307,LHASA APSO,CANINE,10
V123289,1-Jan,734,278,BOXER,CANINE,11
V123289,1-Jan,687,250,POODLE,CANINE,13
V123289,1-Jan,319,495,TERRIER STAFFORDSHIRE,CANINE,13
V123289,1-Jan,436,213,SPHYNX,FELINE,1
V123289,1-Jan,702,232,COLLIE  BORDER,CANINE,21
V123289,1-Jan,432,137,DOMESTIC LONGHAIR,FELINE,8
V123289,1-Jan,762,435,SHEPHERD MIX,CANINE,18
V123289,1-Jan,351,451,DSH,FELINE,13
V123289,1-Jan,222,456,DACHSHUND,CANINE,19
V123289,1-Jan,825,346,DSH,FELINE,23
V123289,1-Jan,239,119,PUG,CANINE,23
V123289,1-Jan,294,401,WESTHIGHLANDTERRIER,CANINE,19
V123289,1-Jan,661,222,TEDDY BEAR,CANINE,16
V123289,1-Jan,781,290,DOMESTIC SHORT HAIR,FELINE,11
V123289,1-Jan,452,454,AMERICAN CREAM DRAFT HORSE,FERRET,6
V123289,1-Jan,809,269,POODLESTANDARD,DOG,3
V123289,1-Jan,444,279,PIT BULL,CANINE,8
V123289,1-Jan,828,167,DOMESTIC MEDIUMHAIR,FELINE,22
V123289,1-Jan,228,341,POMERANIAN,CANINE,13
V123289,1-Jan,923,421,DOMESTIC MEDIUM HAIR,FELINE,15
V123289,1-Jan,120,157,DOMESTIC LONGHAIR,CAT,17
V123289,1-Jan,237,368,SNODDLE,CANINE,7
V123289,1-Jan,220,384,DOMESTIC SHORT HAIR,FELINE,15
V123289,1-Jan,380,493,POODLE/STANDARD,CANINE,16
V123289,1-Jan,346,399,SHIAPOO,CANINE,16
V123289,1-Jan,246,212,MIXED,CANINE,19
V123289,1-Jan,162,357,MIXED,CANINE,15
V123289,1-Jan,583,226,GREAT PYRENEES,CANINE,6
V123289,1-Jan,539,469,TERRIER YORKSHIRE,CANINE,24
V123289,1-Jan,814,162,MIXED,CANINE,12
V123289,1-Jan,886,200,AMAZON  BLUE FRONT,AVIAN,12
V123289,1-Jan,151,454,CHIHUAHUA  SMOOTH,CANINE,20
V123289,1-Jan,102,380,PITBULL  MIXED,CANINE,12
V123289,1-Jan,544,164,LABRADOR RETRIEVER,CANINE,18
V123289,1-Jan,118,437,DSH,FELINE,22
V123289,1-Jan,577,296,YORKSHIRE TERRIER,CANINE,9
V123289,1-Jan,637,225,CHOW CHOW,CANINE,16
V123289,1-Jan,491,150,PIT BULL,DOG,17
V123289,1-Jan,152,174,CHIHUAHUA,CANINE,18
V123289,1-Jan,712,483,PUG MIX,CANINE,13
V123289,1-Jan,532,408,RETRIEVER LABRADOR,CANINE,9
V123289,1-Jan,893,201,DLH,CAT,12
V123289,1-Jan,252,242,LABRADOR RETRIEVER,CANINE,13
V123289,1-Jan,627,152,WIRE FOX TERRIER,CANINE,17
V123289,1-Jan,149,470,WEST HIGHLAND TERRIER,CANINE,21
V123289,1-Jan,597,286,PUG,DOG,13
V123289,1-Jan,397,159,DACHSHUND,CANINE,24
V123289,1-Jan,125,203,BOXER MIX,CANINE-DOGS,13
V123289,1-Jan,581,470,BEAGLE,CANINE,22
V123289,1-Jan,269,293,CHIHUAHUA,CANINE,17
V123289,1-Jan,527,319,BLUE HEELER  AUSTRALIAN,CANINE,13
V123289,1-Jan,203,461,DOMESTIC SHORT HAIR,FELINE,19
V123289,1-Jan,867,462,MINIATURE POODLE,CANINE,12
V123289,1-Jan,911,487,DOMESTIC LONGHAIR,FELINE,22
V123289,1-Jan,485,476,TERRIER MIX,CANINE,17
V123289,1-Jan,842,173,PIT BULL TERRIER,CANINE,21
V123289,1-Jan,180,222,BOXER,CANINE,12
V123289,1-Jan,794,398,SETTER/ENGLISH,CANINE,8
V123289,1-Jan,704,478,LAB,CANINE,17
V123289,1-Jan,697,275,DOMESTIC SHORTHAIR,CAT,17
V123289,1-Jan,525,293,Feb-33,FELINE,23
V123289,1-Jan,632,302,MIXED,CANINE,2
V123289,1-Jan,836,338,AMERICAN QUARTER HORSE,EQUINE,9
V123289,1-Jan,493,187,MORGAN,EQUINE,20
V123289,1-Jan,465,142,BOXER,CANINE,12
V123289,1-Jan,572,159,MEDIUMHAIR  DOMESTIC,FELINE,13
V123289,1-Jan,270,434,SHORTHAIR  DOMESTIC,FELINE,15
V123289,1-Jan,726,291,TERRIER MIX,CANINE,15
V123289,1-Jan,977,310,CHIHUAHUA MIX,CANINE,22
V123289,1-Jan,388,162,SHORTHAIR  DOMESTIC,FELINE,20
V123289,1-Jan,551,352,DOMESTIC SHORT HAIR,FELINE,19
V123289,1-Jan,561,134,UNKNOWN,UNKNOWN,1
V123289,1-Jan,693,368,BLUE HEELER  AUSTRALIAN,CANINE,13
V123289,1-Jan,930,409,SHORTHAIR DOMESTIC,CAT,18
V123289,1-Jan,666,407,ST. BERNARD,CANINE,17
V123289,1-Jan,862,404,CHOW CHOW,CANINE,8
V123289,1-Jan,360,479,MEDIUMHAIR  DOMESTIC,FELINE,20
V123289,1-Jan,689,196,MALTESE MIX,CANINE,24
V123289,1-Jan,935,341,SIAMESE,FELINE,7
V123289,1-Jan,633,389,RETRIEVER MIX,CANINE,11
V123289,1-Jan,574,151,CATAHOULA LEOPARD DOG,CANINE,12
V123289,1-Jan,795,278,MALTESE MIX,CANINE,12
V123289,1-Jan,501,226,CHIHUAHUA,CANINE,21
V123289,1-Jan,711,348,LAB MIX,CANINE,23
V123289,1-Jan,263,409,DACHSHUND SMOOTH,CANINE,18
V123289,1-Jan,650,251, AMERICAN ESKIMO,CANINE,15
V123289,1-Jan,496,163,SHORTHAIR  DOMESTIC,FELINE,6
V123289,1-Jan,900,287,SHEPHERD  GERMAN,CANINE,4
V123289,1-Jan,256,355,RETRIEVER-LAB-MIX,CANINE,20
V123289,1-Jan,719,232,POMERANIAN,CANINE,16
V123289,1-Jan,400,351,SADDLEBRED,EQUINE,16
V123289,1-Jan,783,291,MIXED,CANINE,17
V123289,1-Jan,680,405,SHIH TZU,CANINE - DOGS,20
V123289,1-Jan,961,482,DOMESTIC SHORTHAIR,FELINE,15
V123289,1-Jan,669,159,TABBY,FELINE,3
V123289,1-Jan,367,287,MIXED,CANINE,5
V123289,1-Jan,428,372,PIT BULL,CANINE,21
V123289,1-Jan,213,499,DACHSHUND LONG HAIR,FELINE,14
V123289,1-Jan,797,190,RETRIEVER  LABRADOR,CANINE,13
V123289,1-Jan,163,201,Feb-33,FELINE,23
V123289,1-Jan,684,453,DOBERMAN PINSCHER,CANINE,18
V123289,1-Jan,107,404,DOMESTIC SHORTHAIR,FELINE,14
V123289,1-Jan,845,485,SHORTHAIR  DOMESTIC,FELINE,4
V123289,1-Jan,293,489,RETRIEVER LABRADOR,CANINE,13
V123289,1-Jan,105,398,CATTLE DOG  AUSTRALIAN,CANINE,3
V123289,1-Jan,132,115,CHIHUAHUA,CANINE,16
V123289,1-Jan,897,446,CHESTER WHITE,PORCINE,8
V123289,1-Jan,768,487,SHEPHERD  AUSTRALIAN,CANINE,14
V123289,1-Jan,303,474,MAINE COON,CAT,16
V123289,1-Jan,607,444,DOMESTIC SHORTHAIR,FELINE,14
V123289,1-Jan,599,446,DOMESTIC SHORTHAIR,FELINE,11
V123289,1-Jan,150,450,DACHSHUND WIRE HAIR,CANINE,13
V123289,1-Jan,882,448,DOMESTIC SHORTHAIR,FELINE,22
V123289,1-Jan,343,113,RETRIEVER  LABRADOR MIX,CANINE,18
V123289,1-Jan,589,357,PITBULL,CANINE,20
V123289,1-Jan,584,405,SMALL MIXED BREED,CANINE,16
V123289,1-Jan,938,288,SHORTHAIR  DOMESTIC,FELINE,4
V123289,1-Jan,277,257,AUSTRALIAN SHEPHERD,CANINE,14
V123289,1-Jan,723,130,DOMESTIC SHORTHAIR,FELINE,17
